member_id,member_no,password,email,fbid,fbemail,mobile_no,salutation,firstname,middlename,lastname,birth_year,birth_month,birth_day,gender,hkid,address1,address2,address3,district,region,reg_source,referrer,reg_status,reg_ip,activate_key,hash_key,session,status,opt_in,member_level_id,member_category_id,available_point,crt_date,upd_date,crt_by_type,crt_by,upd_by_type,upd_by,record_status,fullname,member_level_name
1,MC0001,53C8DA1F-6250D049-F838954F-A7D5F497-F2D0CEB7-0A26FFC0-4EED86F3-2CBE4B31,achantaiman@palmary.com.hk,,,91235201,1,Nick,Tai Man,Chan,1988,3,19,1,Z5235412,,,,0,0,0,,0,::1,,,,1,1,3,0,6500,2016/7/4 下午 08:12:49,2016/7/4 下午 08:14:29,0,0,1,1,0,Nick Tai Man Chan,,Gold Members
2,MC0002,C89DC692-DD53DE13-F8E621AE-191E533F-D6F44F66-E3B175E7-5099D4AF-1EECCC0F,achantaiman2@palmary.com.hk,,,95630256,2,Paul,Chi Chung,Fung,1987,8,27,1,Y1206854,,,,0,0,0,,0,::1,,,,1,1,3,0,6001,2016/7/4 下午 08:12:50,2016/7/19 下午 08:56:52,0,0,1,1,0,Paul Chi Chung Fung,,Gold Members
3,MC0003,C07376F2-7D993660-84D4641D-A471A7EF-9B8DDE4D-6097B909-D4BD5636-CBCDD030,achantaiman3@palmary.com.hk,,,62014532,3,Lai,Ming,Lai,1990,12,14,1,C5432019,,,,0,0,0,,0,::1,,,,1,0,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Lai Ming Lai,,Junior Member
4,MC0004,C10A1E9B-C3925BD5-C261868B-F9F5C483-43CA64FD-29420A23-2ABECAAE-5E768ED7,achantaiman4@palmary.com.hk,,,58123086,4,Joseph,Sze Kit,So,1971,3,19,1,Z4539852,,,,0,0,0,,0,::1,,,,1,0,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Joseph Sze Kit So,,Junior Member
5,MC0005,9D93A683-A22A1153-802F2B30-D69B369E-39983F90-BA6F8AEB-36762500-B2FB34EC,achantaiman5@palmary.com.hk,,,98563208,5,Nick,Tui Hing,Wong,1978,9,16,1,Y4569308,,,,0,0,0,,0,::1,,,,1,1,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Nick Tui Hing Wong,,Junior Member
6,MC0006,BC20340F-4B36D425-804749CD-4AC59E41-E18FC7C2-D92B43D9-FA96B3D6-60462A38,achantaiman6@palmary.com.hk,,,97630259,1,Sally,On Yi,Ho,1976,6,21,2,Z2560279,,,,0,0,0,,0,::1,,,,1,1,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Sally On Yi Ho,,Junior Member
7,MC0007,A64AAAFB-36E8F8A7-FDD3245B-6EB46E3B-9C958E93-C2BF95AC-68B8DFAB-AE5CE07A,achantaiman7@palmary.com.hk,,,68930246,2,Debby,Siu Man,Lam,1989,4,17,2,C1983649,,,,0,0,0,,0,::1,,,,1,0,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Debby Siu Man Lam,,Junior Member
8,MC0008,9F48D84A-392FE59F-06AA6B50-6E4B973B-B604B673-5E9958A6-174C1AAE-EE7F36DD,achantaiman8@palmary.com.hk,,,77965800,1,Nick,Tai Man,Chan,1988,3,19,1,Z5235413,,,,0,0,0,,0,::1,,,,1,1,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Nick Tai Man Chan,,Junior Member
9,MC0009,217E69E0-B49FE812-DD645732-224D0EBD-08333B52-EA3CFAA0-ABF3C438-91D09D70,achantaiman9@palmary.com.hk,,,77024151,2,Paul,Chi Chung,Fung,1987,8,27,1,Y1206855,,,,0,0,0,,0,::1,,,,1,0,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Paul Chi Chung Fung,,Junior Member
10,MC0010,88CB7C09-E9F80D79-B7131CBA-451757E1-0A279729-04000C82-453C6F9C-D5442B63,achantaiman10@palmary.com.hk,,,76082501,3,Lai,Ming,Lai,1990,12,14,1,C5432020,,,,0,0,0,,0,::1,,,,1,1,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Lai Ming Lai,,Junior Member
