member_id,member_no,password,email,fbid,fbemail,mobile_no,salutation,firstname,middlename,lastname,birth_year,birth_month,birth_day,gender,hkid,address1,address2,address3,district,region,reg_source,referrer,reg_status,reg_ip,activate_key,hash_key,session,status,opt_in,member_level_id,member_category_id,available_point,crt_date,upd_date,crt_by_type,crt_by,upd_by_type,upd_by,record_status,fullname,member_level_name
1272,LFM101001,A96C089E-CFDBF796-BBEECABD-0C47059F-B70B7183-B9D89A72-15F5F231-8B9D7A56,LFM101001@palmary.com,,,1999101001,1,Pauline,Yeung,q,1900,1,1,1,Z1234,,,,0,0,0,0,0,,,123456,,1,0,4,7,20,2014/5/13 下午 03:26:27,2015/6/24 下午 12:30:03,2,1,2,1,0,Pauline Yeung q,Platinum
1273,LFM101006,1EA912B9-B46CB0A4-A7DC9565-A1B5C5B0-6A339C65-BEFBD90E-2AB3F4B3-61E27C5A,LFM101006@palmary.com,,,1999101006,1,Lee Yin Lam Joey,,,1900,1,1,1,Z1234,,,,0,0,0,,0,::1,,,,1,0,4,7,0,2014/5/13 下午 03:26:27,2014/5/13 下午 03:26:27,2,1,2,1,0,"Lee Yin Lam Joey  ",Platinum
1274,LFM101039,D160CECF-6F8CC030-93766E5A-101FF067-48335020-54D835E3-1BC84B97-55BF5C83,LFM101039@palmary.com,,,1999101039,1,Chan Suet Fai,,,1900,1,1,1,Z1234,,,,0,0,0,,0,::1,,,,1,0,4,7,0,2014/5/13 下午 03:26:27,2014/5/13 下午 03:26:27,2,1,2,1,0,"Chan Suet Fai  ",Platinum
1275,LFM101068,A2560BF7-469E2D25-C4EF0033-0D7DAD7D-85B28C84-39AE3DA9-8C01D0AB-12914ECA,LFM101068@palmary.com,,,1999101068,1,Lee Jin Jin,,,1900,1,1,1,Z1234,,,,0,0,0,,0,::1,,,,1,0,4,7,0,2014/5/13 下午 03:26:27,2014/5/13 下午 03:26:27,2,1,2,1,0,"Lee Jin Jin  ",Platinum
1276,LFM101076,1AFF0E7D-997F4BAB-22314D60-60DB1C5F-2049D185-248825AD-5204AB61-9BC74D20,LFM101076@palmary.com,,,1999101076,1,Lin Suk Fong Annie,,,1900,1,1,1,Z1234,,,,0,0,0,,0,::1,,,,1,0,4,7,0,2014/5/13 下午 03:26:27,2014/5/13 下午 03:26:27,2,1,2,1,0,"Lin Suk Fong Annie  ",Platinum
1277,LFM101080,048932D2-E2E752EF-14B6ACC5-97811B8D-D939853B-38F93DD6-8D09F7B6-0F8EC9A0,LFM101080@palmary.com,,,1999101080,1,Tong Yu Lan Tracy,,,1900,1,1,1,Z1234,,,,0,0,0,,0,::1,,,,1,0,4,7,0,2014/5/13 下午 03:26:27,2014/5/13 下午 03:26:27,2,1,2,1,0,"Tong Yu Lan Tracy  ",Platinum
1278,LFM101081,EBF44027-505FCD91-037A13FB-FA9BEB0B-41AEC05A-EB35D068-B1B13476-F680B3D9,LFM101081@palmary.com,,,1999101081,1,Eric Wong,,,1900,1,1,1,Z1234,,,,0,0,0,,0,::1,,,,1,0,4,7,0,2014/5/13 下午 03:26:27,2014/5/13 下午 03:26:27,2,1,2,1,0,"Eric Wong  ",Platinum
1279,LFM101090,BD734875-4DB8178F-7B9B7D41-531B038B-E9310AD2-040A8D23-A479BA64-113A7E93,LFM101090@palmary.com,,,1999101090,1,Chan Yuk Chee Ivy,,,1900,1,1,1,Z1234,,,,0,0,0,,0,::1,,,,1,0,4,7,0,2014/5/13 下午 03:26:27,2014/5/13 下午 03:26:27,2,1,2,1,0,"Chan Yuk Chee Ivy  ",Platinum
1280,LFM101103,F5FBB639-CF0FA196-D3775451-FA28D216-E65991CE-DAF1E0A7-6C87D06C-BF62F53B,LFM101103@palmary.com,,,1999101103,1,Ho Lan Ying,,,1900,1,1,1,Z1234,,,,0,0,0,,0,::1,,,,1,0,4,7,0,2014/5/13 下午 03:26:27,2014/5/13 下午 03:26:27,2,1,2,1,0,"Ho Lan Ying  ",Platinum
1281,LFM101107,41EEAC71-591EA5B8-1B1BFE27-0087F7EF-C93A0323-08B4AFE1-A11F7CFE-2E2361A8,LFM101107@palmary.com,,,1999101107,1,Cheung Lai Chun Betty,,,1900,1,1,1,Z1234,,,,0,0,0,,0,::1,,,,1,0,4,7,0,2014/5/13 下午 03:26:27,2014/5/13 下午 03:26:27,2,1,2,1,0,"Cheung Lai Chun Betty  ",Platinum
