transaction_id,type,source_id,location_id,member_id,point_change,point_status,point_expiry_date,display,void_date,remark,status,crt_date,crt_by_type,crt_by,upd_date,upd_by_type,upd_by,record_status,type_name,member_name,member_no,point_status_name,status_name,crt_by_name
34,50,0,0,181,-2,1,,True,,,1,2014/4/15 下午 07:32:51,2,1,2014/4/15 下午 07:32:51,2,1,0,Redemption,"Lai Ming Test, Lai",MC0003,,,
33,3,1,0,181,100,1,,True,,,1,2014/4/15 下午 07:31:30,2,1,2014/4/15 下午 07:31:30,2,1,0,Point Adjustment,"Lai Ming Test, Lai",MC0003,,,
32,50,0,0,122,-1,1,,True,,,1,2014/4/15 下午 07:18:29,2,1,2014/4/15 下午 07:18:29,2,1,0,Redemption,"Wong Ka Yan, Crystal",PL011,,,
31,50,0,0,122,-1,1,,True,,,1,2014/4/15 下午 07:13:29,2,1,2014/4/15 下午 07:13:29,2,1,0,Redemption,"Wong Ka Yan, Crystal",PL011,,,
30,51,15,0,179,2,1,,True,,test wavie,1,2014/4/15 下午 05:13:17,2,1,2014/4/15 下午 05:13:17,2,1,0,Redemption Cancel,"Tai Man Test123 Chan, Nick",MC0001,,,
29,50,0,0,179,-2,1,,True,,,1,2014/4/15 下午 05:12:02,2,1,2014/4/15 下午 05:12:02,2,1,0,Redemption,"Tai Man Test123 Chan, Nick",MC0001,,,
28,50,0,0,179,-1,1,,True,,,1,2014/4/15 下午 05:11:05,2,1,2014/4/15 下午 05:11:05,2,1,0,Redemption,"Tai Man Test123 Chan, Nick",MC0001,,,
27,50,0,0,179,-1,1,,True,,,1,2014/4/15 下午 05:07:25,2,1,2014/4/15 下午 05:07:25,2,1,0,Redemption,"Tai Man Test123 Chan, Nick",MC0001,,,
26,50,0,0,179,-1,1,,True,,,1,2014/4/15 下午 05:05:29,2,1,2014/4/15 下午 05:05:29,2,1,0,Redemption,"Tai Man Test123 Chan, Nick",MC0001,,,
25,51,11,0,122,0.8,1,,True,,test wavie,1,2014/4/15 下午 03:21:48,2,1,2014/4/15 下午 03:21:48,2,1,0,Redemption Cancel,"Wong Ka Yan, Crystal",PL011,,,
24,50,0,0,122,-0.8,1,,True,,,1,2014/4/15 下午 03:21:27,2,1,2014/4/15 下午 03:21:27,2,1,0,Redemption,"Wong Ka Yan, Crystal",PL011,,,
23,51,10,0,122,0.8,1,,True,,test waive,1,2014/4/15 下午 03:14:43,2,1,2014/4/15 下午 03:14:43,2,1,0,Redemption Cancel,"Wong Ka Yan, Crystal",PL011,,,
